Date,Price,Open,High,Low,Volume
2019-04-01,30638.9,30770.7,30770.7,30577.18,254.81
2019-03-01,30771.32,31070.06,31078.43,30749.66,254.81
2019-02-01,31070.06,31429.34,31434.04,31065.25,254.81
2018-12-31,31430.5,31036.63,31430.5,30753.93,254.81
2018-12-28,31037.72,31693.17,31771.38,31029.89,254.81
2018-12-27,31692.63,31967.01,31967.01,31569.28,254.81
2018-12-24,31967.01,30773.64,31967.01,30773.64,254.81
2018-12-21,30773.64,30802.9,30911.22,30704.47,254.81
2018-12-20,30802.9,30704.98,30802.9,30506.79,254.81
2018-12-19,30704.98,30814.19,30884.63,30696.38,254.81
2018-12-18,30822.33,30609.06,30822.33,30606.83,254.81
2018-12-17,30609.06,30700.5,30722.25,30553.9,254.81
2018-12-14,30672.79,30568.05,30754.26,30568.05,254.81
2018-12-13,30568.05,30642.35,30735.2,30567.25,254.81
2018-12-12,30642.35,30710.12,30771.47,30611.08,254.81
2018-11-12,30718.72,30614.73,30769.61,30542.86,254.81
2018-10-12,30614.73,30866.82,31213.77,30614.73,254.81
2018-07-12,30866.82,30819.1,30993.02,30774.51,254.81
2018-06-12,30819.1,31151.68,31160.36,30773.13,254.81
2018-05-12,31151.68,31007.25,31180.32,30925.25,254.81
2018-04-12,31007.25,30798.76,31025.33,30792.47,254.81
2018-03-12,30798.76,30874.17,30895.4,30732.76,254.81
2018-11-30,30874.17,30611.55,31014.82,30570.99,254.81
2018-11-29,30611.55,31023.47,31061.18,30545.2,254.81
2018-11-28,31023.47,31173.71,31295.97,30993.97,254.81
2018-11-27,31173.71,31533.5,31551.61,31147.49,254.81
2018-11-26,31579.72,31678.7,31779.9,31562.31,254.81
2018-11-23,31678.7,31984.6,31998.15,31610.43,254.81
2018-11-22,31984.6,31969.79,31999.72,31934.9,254.81
2018-11-21,31969.79,32222.24,32357.22,31968.13,254.81
2018-11-19,32222.24,32057.01,32226.73,32026.17,254.81
2018-11-16,32058.28,31864.8,32150.75,31854.43,254.81
2018-11-15,31864.8,32108.92,32117.61,31859.77,254.81
2018-11-14,32108.92,32146.55,32191.6,32101.59,254.81
2018-11-13,32152.9,32136.43,32402.92,32101.8,254.81
2018-12-11,32143.41,32202.73,32218.71,32123.14,254.81
2018-09-11,32200.21,32228.5,32253.44,32126.6,254.81
2018-08-11,32228.5,32108.3,32246.75,32103.41,254.81
2018-07-11,32108.3,32154.03,32218.2,32083.25,254.81
2018-06-11,32154.03,32048.18,32212.0,31949.33,254.81
2018-05-11,32048.18,32130.02,32182.93,32033.91,254.81
2018-02-11,32124.94,32006.65,32200.93,32006.65,254.81
2018-01-11,32006.65,32458.05,32477.99,32006.65,254.81
2018-10-31,32466.27,33168.96,33215.73,32399.67,254.81
2018-10-30,33167.88,33196.07,33577.11,32828.11,254.81
2018-10-29,33196.07,32907.33,33200.37,32735.95,254.81
2018-10-26,32907.33,32545.06,32907.33,32326.9,254.81
2018-10-25,32545.06,32403.6,32570.86,32397.42,254.81
2018-10-24,32403.6,33191.45,33201.34,32403.6,254.81
2018-10-23,33191.45,32962.82,33269.0,32962.82,254.81
2018-10-22,32962.82,32841.69,32986.93,32841.69,254.81
2018-10-19,32841.69,32664.63,32897.48,32639.31,254.81
2018-10-18,32664.63,32437.35,32877.32,32402.65,254.81
